what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1402107000143
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1402107000144
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1402107000145
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1402107000147
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107001211
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107040402
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1402107040465
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107041570
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107065522
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107068515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107089247
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107090076
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107091105
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1402107091258
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1402107092162
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1402107092182
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1402107092207
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1402107092225
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1402107092281
